Dataset, MSE, SSIM, MS_SSIM, PSNR, VIFP, UQI
/Beanbags,44.75048068576389,0.926440893860038,0.9789237312248092,31.6228265623,0.5118557422990044,0.9975367458328813
/Dimetrodon,4.412746257590736,0.9741365270388488,0.9971703530144327,41.6837140557,0.7139965933739733,0.9993554916115928
/DogDance,49.50521267361111,0.9244757330509286,0.9824011720834421,31.1842943029,0.5108719258871698,0.9944775020406015
/Grove2,81.45107204861111,0.889667013211949,0.9816898976584114,29.0218355606,0.4681152519235036,0.9928788048841364
/Grove3,123.54517035590278,0.8930852750442022,0.9784545834628661,27.212545883,0.45161485605661394,0.9903579512975984
/Hydrangea,12.763210233959422,0.987078425674834,0.9965643984632075,37.0712043793,0.7361514109633543,0.9990765394993946
/MiniCooper,94.296591796875,0.9453078910339051,0.9908228542986116,28.3858436474,0.5456244335392508,0.9934927165570655
/RubberWhale,2.68288671562397,0.9919064419921586,0.9988229024399581,43.8447802581,0.8701839014552021,0.999480572997017
/Urban2,18.108492838541668,0.9470634375914786,0.9896721122288101,35.5519805518,0.6059626761231348,0.9970995489178063
/Urban3,29.461407335069445,0.9240122661812743,0.9838201820824358,33.4382687215,0.5762458901539509,0.9930124283760077
/Venus,22.47578320802005,0.9405361563385197,0.99144470758884,34.6136552645,0.5883847871227811,0.9966739265179353
/Walking,30.941489800347224,0.9594015079056817,0.9918260251723645,33.2253914018,0.5641139892138017,0.998231787803873
