Index, MSE, SSIM, MS_SSIM, PSNR, VIFP, UQI
1,672.5334345499674,0.689382033858848,0.6459948719810988,19.85366481,0.10355872646719938,0.9582176822830529
2,735.9594141642252,0.6853677512796873,0.5909337734287228,19.4622649584,0.10518505418858205,0.9539057240786496
3,22.705340067545574,0.9224863783098917,0.9400222930225846,34.5695234997,0.36670482255595704,0.9984939581927805
5,19.650933583577473,0.9325742481370689,0.9470309470501691,35.1969717305,0.4103945949192454,0.9987135428920904
6,48.817405700683594,0.8486312339385371,0.8588288446649732,31.2450566485,0.23116457654224135,0.996545970866152
7,14.345934549967447,0.9516003448038951,0.9605721968963097,36.5635151573,0.47773147188273263,0.9989846566370338
9,15.171475728352865,0.9511456427444038,0.9598098670645676,36.3205253423,0.487928477169822,0.9989166165636164
10,43.42824935913086,0.8827717436482937,0.8817754688716378,31.7530803804,0.2967533270599687,0.9967252518875694
11,14.217021942138672,0.9552172326778416,0.9630895654743166,36.6027172717,0.4947108041262072,0.9989549985954339
13,13.718129475911459,0.9567928202638395,0.9644197738150753,36.7578546332,0.5209516838304618,0.9990017029226469
14,38.986314137776695,0.8994849538961761,0.8958237670053182,32.2216818301,0.33548249437992556,0.9969857929147178
15,14.092745463053385,0.959089148080673,0.9653247551477177,36.640847529,0.5173305768289765,0.998984701603637
